1 Ağustos 2008 Cuma  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['12:50', '30°C', '30°C', '15 Km/h', 'N/A', '46%', '17°C', '1008,0mb', '', 'Açık']
['13:50', '31°C', '31°C', '9 Km/h', 'N/A', '40%', '16°C', '1007,0mb', '', 'Açık']
['14:50', '31°C', '31°C', '7 Km/h', 'N/A', '40%', '16°C', '1006,0mb', '', 'Açık']
['16:50', '31°C', '31°C', '20 Km/h', 'N/A', '40%', '16°C', '1006,0mb', '', 'Açık']
['17:50', '29°C', '30°C', '20 Km/h', 'N/A', '51%', '18°C', '1006,0mb', '', 'Açık']
['18:50', '27°C', '28°C', '20 Km/h', 'N/A', '62%', '19°C', '1007,0mb', '', 'Açık']
['19:50', '26°C', '27°C', '13 Km/h', 'N/A', '65%', '19°C', '1007,0mb', '', 'Açık']
['20:50', '24°C', '24°C', '7 Km/h', 'N/A', '74%', '19°C', '1008,0mb', '', 'Açık']
['21:50', '24°C', '25°C', '6 Km/h', 'N/A', '78%', '20°C', '1009,0mb', '', 'Az bulutlu']
['22:50', '23°C', '24°C', '7 Km/h', 'N/A', '89%', '21°C', '1008,0mb', '', 'Az bulutlu']
['23:50', '22°C', '23°C', '7 Km/h', 'N/A', '88%', '20°C', '1008,0mb', '', 'Az bulutlu']
